Symbol,Quant_Rating,Days_At_Quant_Rating,Fund_Name
UFOX,4.48,378,Defiance Connective Technologies ETF
IXN,4.44,379,iShares Global Tech ETF
XLK,4.44,379,State Street Technology Select Sector SPDR ETF
SPMO,4.42,358,Invesco S&P 500 Momentum ETF
VLUE,4.4,239,iShares MSCI USA Value Factor ETF
PSCT,4.36,122,Invesco S&P SmallCap Information Tech ETF
EMXC,4.3,241,iShares MSCI Emerging Markets ex China ETF
SPHB,4.29,332,Invesco S&P 500 High Beta ETF
PICK,4.29,189,iShares MSCI Global Metals & Mining Producers ETF
GARP,4.28,385,iShares MSCI USA Quality GARP ETF
XCEM,4.27,143,Columbia EM Core ex-China ETF
AVXC,4.24,247,Avantis Emerging Markets ex-China Equity ETF
VFMO,4.23,162,Vanguard US Momentum Factor ETF
VPL,4.19,234,Vanguard Pacific Stock Index Fund ETF
IOO,4.17,381,iShares Global 100 ETF
CCNR,4.17,158,ALPS/CoreCommodity Natural Resources ETF
NANR,4.13,183,State Street SPDR S&P North American Nat Res ETF
AVDV,4.1,396,Avantis International Small Cap Value ETF
SPY,4.1,381,State Street SPDR S&P 500 ETF Trust
XAR,4.1,120,State Street SPDR S&P Aerospace & Defense ETF
IVV,4.09,381,iShares Core S&P 500 ETF
SPYM,4.08,381,State Street SPDR Portfolio S&P 500 ETF
VOO,4.08,381,Vanguard 500 Index Fund ETF
DYNF,4.07,385,iShares US Equity Factor Rotation Active ETF
FLJH,4.06,199,Franklin FTSE Japan Hedged ETF
IGE,4.05,148,iShares North American Natural Resources ETF
SNPE,4.03,242,Xtrackers S&P 500 Scored & Screened ETF
EFIV,4.03,241,State Street SPDR S&P 500 ESG ETF
FNDF,4.02,233,Schwab Fundamental Intl Equity ETF
FLQL,4.0,381,Franklin US Large Cap Multifactor Index ETF
QLC,4.0,381,FlexShares US Quality Large Cap Index Fund ETF
FFLC,3.98,247,Fidelity Fundamental Large Cap Core ETF
IUS,3.98,186,Invesco RAFI Strategic US ETF
AVUS,3.96,255,Avantis US Equity ETF
IYZ,3.96,106,iShares US Telecommunications ETF
SEIV,3.95,106,SEI Enhanced US Large Cap Value Factor ETF
IDMO,3.93,400,Invesco S&P Intl Developed Momentum ETF
AVLV,3.92,140,Avantis US Large Cap Value ETF
FNDX,3.91,172,Schwab Fundamental US Large Company ETF
PRF,3.9,172,Invesco RAFI US 1000 ETF
FNDB,3.86,164,Schwab Fundamental US Broad Market ETF
IVLU,3.85,233,iShares MSCI Intl Value Factor ETF
UIVM,3.84,399,VictoryShares International Value Momentum ETF
GLOF,3.83,295,iShares Global Equity Factor ETF
IFRA,3.83,126,iShares US Infrastructure ETF
VFMF,3.82,162,Vanguard US Multifactor ETF
FIVA,3.8,234,Fidelity International Value Factor ETF
SPHQ,3.8,147,Invesco S&P 500 Quality ETF
MFUS,3.8,106,PIMCO RAFI Dynamic Multi-Factor US Equity ETF
HFXI,3.78,220,NYLI FTSE International Eqty Currency Neutral ETF
FIDU,3.78,154,Fidelity MSCI Industrials Index ETF
VIS,3.77,154,Vanguard Industrials Index Fund ETF
AVGE,3.76,192,Avantis All Equity Markets ETF
XLI,3.72,154,State Street Industrial Select Sector SPDR ETF
VLU,3.7,156,State Street SPDR S&P 1500 Value TILT ETF
HAWX,3.63,220,iShares Currency Hedged MSCI ACWI ex US ETF
AVGV,3.63,170,Avantis All Equity Markets Value ETF
VYMI,3.59,197,Vanguard Internatl High Div Yield Index Fund ETF
BBCA,3.58,184,JPMorgan BetaBuilders Canada ETF
ULVM,3.57,121,VictoryShares US Value Momentum ETF
FLCA,3.56,185,Franklin FTSE Canada ETF
